time_value,geo_value,value,activity_level,region_value,national_value
2023-07-01,al,1.232478810022853,2.0,1.5073028571239138,1.3453891503511874
2024-04-20,al,2.979549626996494,4.0,2.2816396437724014,3.1983654935058623
2023-09-09,al,1.7493421809700225,3.0,1.5041201268667324,1.399992202202848
2024-09-21,al,1.2917798787085286,2.0,1.3155942987790712,1.2080925718451165
2023-11-25,al,5.415762340857202,5.0,3.3149452654775,2.1818864637961437
2023-12-30,al,24.784909505717703,9.0,16.576008605910516,15.052858636599094
2022-10-29,al,17.76896210121699,8.0,11.542091714922142,3.3803622377520646
2022-09-03,al,1.1996508172174003,2.0,1.1996508172174003,1.095080665886382
2023-06-10,al,1.450682905589557,2.0,1.5772056055505934,1.2903321532996692
2023-07-15,al,1.2627009820391655,2.0,1.545085327786938,1.47614745069149
2024-06-15,al,2.401017421366707,3.0,1.3740583794989873,1.613460594335774
2024-10-19,al,1.525671869000625,2.0,1.398834379647548,1.2898643548143558
2023-10-14,al,1.8838618347455376,3.0,1.6331148195096397,1.3805268406369877
2024-07-20,al,1.6949325248759646,3.0,1.2382087868652714,1.4996599326436786
2024-10-12,al,2.1202841555299874,3.0,1.3173131717242157,1.1764454223026086
2024-03-30,al,7.240949714540545,5.0,3.683598389232669,3.5527952363573236
2024-02-17,al,8.77378869249262,6.0,7.157877064133489,7.329559385152467
2024-07-27,al,1.4492773974343864,2.0,1.5545390506223775,1.4564584857037832
2022-11-05,al,21.35705070630622,9.0,11.19630492824561,5.032461991911971
2023-01-07,al,4.5097165611775925,5.0,6.28159299588078,9.426540237930473
2023-04-01,al,1.5025629401936968,2.0,1.3614359109066005,1.6293185180403988
2024-02-24,al,10.108660167122913,6.0,6.182572256952565,7.036086485527335
2024-05-25,al,1.2650135391238466,2.0,1.700277892025701,1.880306294247108
2023-09-23,al,1.9969050130039616,3.0,1.747580837755877,1.6133003529952614
2023-02-04,al,1.7614259302286668,3.0,2.3400513722996568,2.164066207929189
2024-01-06,al,17.26727954695386,8.0,13.943107117999087,12.541679065590756
2024-01-13,al,14.804389574078707,7.0,11.889069463754325,11.043242875311522
2023-10-07,al,1.1697439317626648,2.0,2.07414368012805,1.3580279338231172
2023-04-22,al,1.3736880731175791,2.0,1.2557724771922962,1.376843519035452
2023-05-20,al,1.2592478122285053,2.0,1.5828742150303363,1.4323665138819244
2023-11-04,al,1.579060266108833,2.0,2.0116725710582477,1.8342216409705192
2022-10-15,al,7.223862175994815,5.0,4.06076015611433,1.5328514886304672
2023-06-24,al,1.4268998161815467,2.0,1.399155304443222,1.3615571816181404
2023-02-25,al,2.6920046937726987,3.0,1.5310677287454761,1.6337508178618774
2023-09-30,al,1.5278374521674978,2.0,1.9226022240106615,1.5405270662102808
2024-08-17,al,1.8746027705318165,3.0,1.4104872449774586,1.299490275477278
2024-09-07,al,1.7248223104060012,3.0,1.4447803422669132,1.2637017554747572
2024-06-01,al,1.5900393634205632,2.0,1.4853299849557464,1.9186753079988232
2024-01-20,al,13.26437827459485,7.0,9.63396883627489,8.963190797712715
2023-06-17,al,1.1666149777448716,2.0,1.5409360876030949,1.3557491431179105
2022-08-20,al,1.184065140415874,2.0,1.209943219625889,1.170363563703495
2023-12-02,al,7.8809944392302596,6.0,4.2088042106725885,4.351337352381651
2023-04-29,al,1.250195207503423,2.0,1.3377185956427695,1.3675909249107159
2023-04-15,al,1.2740081149414264,2.0,1.6749223372875306,1.6337640667242943
2022-10-01,al,3.5121426984097237,4.0,1.6139735318112942,1.410136954712486
2022-11-26,al,17.683957983571556,8.0,14.36182064683224,15.544459851057255
2023-03-11,al,1.9282624336316314,3.0,1.3556890000449915,1.7452642933827909
2022-12-10,al,11.22533948768878,6.0,9.897284931632774,18.88474766963888
2022-09-24,al,1.8684195133670833,3.0,1.6221254987099505,1.524064564372376
2023-08-05,al,1.2548001514950107,2.0,1.4254530954008207,1.3257715684745486
2023-03-04,al,1.35881029147977,2.0,1.4457726187012216,1.7864804377838208
2023-04-08,al,1.5520174961077002,2.0,1.5035423483393007,1.6901722681493272
2023-03-18,al,2.243616734373771,3.0,1.4399827517499166,1.8597026909533771
